,0
управлениеинновационный,4.60517
стартап,3.91202
предпринимательство,2.81341
открытый,0.46204
технологический,2.20727
технопарк,2.81341
профилактика,1.83258
коррупционный,4.60517
правонарушение,3.50656
терроризм,2.65926
экстремизм,2.65926
медиация,3.50656
урегулирование,3.50656
конфликт,2.81341
наркомания,4.60517
среда,1.60944
правило,0.63488
норма,3.50656
телефон,0.94161
доверие,3.91202
дежурнодиспетчерский,4.60517
часть,1.83258
общий,0.4943
лаборатория,2.04022
академический,2.12026
наш,1.27297
именинник,4.60517
алексеев,4.60517
екатерина,3.91202
михаилович,3.91202
доцент,2.65926
кн,4.60517
кафедра,0.67334
теория,1.89712
перевод,1.27297
антоненко,4.60517
вадим,4.60517
вячеславович,3.91202
младший,2.99573
бс,4.60517
изучение,1.7148
бассейн,3.50656
нефтегазонакопление,4.60517
габдрахманов,3.91202
алина,3.91202
рамисович,4.60517
ведущий,1.60944
информационный,0.37106
система,0.37106
гайнутдинов,4.60517
фаний,4.60517
валиахметович,4.60517
сектор,3.21888
экспертиза,2.81341
рабочий,1.66073
гараев,4.60517
аделий,3.91202
мухаматович,4.60517
лаборант,3.91202
нил,3.91202
магнитная,3.91202
радиоспектроскопия,3.21888
квантовый,2.12026
электроника,2.12026
они,0.0
са,2.99573
альтшулер,3.91202
гимаева,4.60517
рашитович,4.60517
разработка,1.34707
эксплуатация,2.30259
месторождение,2.20727
трудноизвлекаемый,3.50656
углеводород,2.81341
гусманов,4.60517
альфий,3.91202
кирамович,4.60517
старший,3.50656
почвоведение,2.52573
дорожкин,4.60517
лия,3.91202
масхутович,3.91202
инженер,2.99573
технический,0.0202
обслуживание,3.21888
лифт,3.91202
еникеев,4.60517
зульфира,4.60517
аснафовен,4.60517
программный,1.89712
инженерия,2.40795
рыбникова,4.60517
ирина,3.50656
андреевич,4.60517
учебнометодический,2.40795
отношение,0.40048
востоковедение,1.66073
савельев,4.60517
наталия,4.60517
александрович,2.81341
сагъдеев,4.60517
айсылу,3.91202
разяповен,4.60517
openlab,3.21888
генный,4.60517
клеточный,3.21888
сафиуллин,3.91202
рамиль,3.21888
айратович,4.60517
ассистент,2.65926
татаристика,3.91202
культуроведение,3.91202
ринат,3.91202
мубаракович,3.91202
заведовать,2.81341
услуга,0.57982
экология,0.46204
светлана,3.91202
ильдарович,3.50656
внутренний,1.42712
болезнь,2.81341
софинский,4.60517
оксана,3.91202
гидрогеология,2.30259
степанов,4.60517
диана,4.60517
валентинович,4.60517
экономист,3.50656
труд,1.83258
стрекаловый,4.60517
владимир,3.21888
алексеевич,3.21888
биомедицинский,3.21888
фахрутдинов,3.91202
анастасия,3.50656
викторович,3.50656
профессор,1.66073
дн,3.91202
халиуллин,4.60517
реваз,4.60517
фархатович,4.60517
инженерпроектировщик,3.91202
хафизов,4.60517
гузель,3.21888
рамилевич,4.60517
неотложный,3.91202
шайхутдинов,4.60517
рузия,4.60517
асадуллович,4.60517
кастелянша,4.60517
эксплуатационнохозяйственный,4.60517
служба,1.77196
сеть,1.83258
быстрый,3.91202
доступ,2.40795
контакт,0.59784
ректорат,2.81341
казань,0.0
кремлёвский,0.0202
приёмный,0.56212
комиссия,0.59784
priemkpfuru,0.82098
документооборот,2.99573
publicmailkpfuru,0.79851
прессслужба,3.91202
pressakpfuru,4.60517
workkpfuru,3.91202
приём,0.51083
admissionkpfuru,4.60517
вопрос,0.31471
инвалид,2.65926
лицо,0.52763
с,0.01005
овз,3.50656
версия,0.03046
слабовидящий,0.03046
право,0.51083
защитить,2.99573
оставить,3.21888
отзыв,2.99573
качество,1.27297
условие,1.46968
стратегический,2.40795
партнёр,2.52573
cтажировка,4.60517
подготовительный,0.09431
факультет,0.47804
языковой,2.81341
тестирование,1.96611
buddy,4.60517
program,3.50656
иван,4.60517
симоново,4.60517
таблица,3.50656
менделеев,3.91202
перечень,0.61619
природопользование,0.4943
нефтегазовый,0.46204
математика,0.51083
механика,0.44629
ни,0.52763
лобачевский,0.08338
химический,0.38566
ама,0.57982
бутлеров,0.56212
юридический,0.52763
вычислительный,0.46204
филология,0.4943
межкультурный,0.57982
коммуникация,0.4943
психология,0.47804
общеуниверситетский,0.79851
физический,0.4943
воспитание,0.71335
передовой,2.20727
фундаментальный,0.46204
инженерный,0.47804
бизнес,0.59784
социальнофилософский,0.57982
массовый,0.4943
экономика,0.40048
финансы,0.46204
государственный,0.40048
муниципальный,0.52763
дизайн,1.42712
пространственный,2.04022
искусство,1.38629
набережночелнинский,0.52763
елабужский,0.52763
вход,0.01005
ваш,0.05129
логин,0.01005
пароль,0.0
забыть,0.01005
перейти,0.77653
основный,0.65393
содержание,0.71335
медиа,0.57982
библиотекагазета,0.73397
университетuniver,0.73397
tvгазета,0.73397
darelfonyn,0.0202
русский,0.38566
татарин,0.67334
english,0.0202
español,0.0202
français,0.0202
deutsche,0.0202
türkçe,0.0202
العربية,0.0202
рф,0.51083
меню,0.63488
главное,0.65393
регистрация,0.06188
часто,0.73397
задавать,0.77653
нормативный,0.13926
утверждение,0.77653
стоимость,0.71335
буклет,0.77653
бакалавриат,0.54473
специалитет,0.71335
перед,0.73397
информирование,0.84397
количество,0.71335
вступительный,0.75502
испытание,0.71335
минимальный,0.82098
балл,0.77653
срок,0.52763
схема,0.77653
поступать,0.79851
осмотр,0.77653
график,0.63488
дверь,0.63488
кредит,0.77653
процедура,0.71335
подача,0.73397
предел,0.71335
особый,0.71335
квота,0.82098
льготник,0.84397
ограниченный,0.82098
возможность,0.51083
победитель,0.69315
призёр,0.71335
стобалльник,0.79851
преимущественный,0.84397
зачисление,0.82098
учёт,0.52763
индивидуальный,0.71335
результат,0.57982
список,0.63488
приказ,0.59784
подать,0.82098
заявление,0.71335
итог,0.61619
архив,0.71335
магистриум,0.84397
г,0.21072
я,0.10536
профессионал,0.69315
инструкция,0.69315
экзамен,0.54473
рекомендовать,0.77653
апелляция,0.84397
образец,0.73397
договор,0.61619
оказание,0.71335
платный,0.71335
средний,0.67334
лицей,0.08338
it,0.71335
интернат,0.84397
инженерноэкономический,0.71335
колледж,0.63488
онлайн,0.71335
рекрутинговый,0.82098
компания,0.63488
контракт,0.77653
основание,0.69315
соотечественник,0.84397
требование,0.65393
прибытие,0.77653
пребывание,0.79851
территория,0.51083
другой,0.52763
предвузовский,0.84397
подготовка,0.26136
без,0.51083
гражданство,0.79851
обмен,0.77653
летний,0.65393
зимний,0.79851
малый,0.69315
курс,0.40048
олимпиадный,0.79851
егэ,0.69315
огэ,0.79851
пробный,0.84397
пособие,0.75502
межрегиональный,0.77653
предметный,0.79851
н,0.75502
itтерритория,0.84397
профильный,0.75502
квант,0.82098
смена,0.75502
добро,2.52573
пожаловать,2.52573
единый,2.20727
номер,2.81341
входрегистрация,3.50656
узнать,2.04022
большой,2.12026
набережный,2.30259
челны,2.30259
елабуга,2.20727
математик,1.42712
радиофизика,2.40795
нанотехнология,2.81341
микросистемный,3.21888
техника,1.27297
математический,1.51413
моделирование,1.83258
прикладной,1.42712
геодезия,2.52573
зондирование,2.65926
астрономия,1.77196
география,1.83258
картография,2.30259
геоинформатика,2.65926
землеустройство,2.65926
кадастр,2.65926
гидрометеорология,2.52573
природообустройство,2.99573
водопользование,3.21888
геофизик,2.40795
дело,1.27297
биотехнология,2.20727
освоение,2.20727
нефть,2.20727
газ,1.96611
химия,1.77196
биотехнический,2.52573
биохимия,2.20727
лечебный,2.40795
фармация,2.30259
компьютерный,1.56065
инноватик,2.99573
информатика,1.38629
бизнесинформатика,2.65926
современный,1.27297
продукт,2.30259
распределённый,2.81341
команда,2.04022
применение,1.77196
автоматизированный,2.65926
ивмить,3.50656
журналистика,0.61619
телевидение,2.20727
медиакоммуникация,0.71335
реклама,2.20727
общественность,2.52573
иуэфа,3.21888
экономический,1.66073
менеджмент,2.04022
персонал,2.04022
торговый,2.65926
сервис,2.20727
гостиничный,2.99573
культурология,2.99573
африканистика,3.21888
зарубежный,1.77196
регионоведение,2.52573
туризм,2.30259
имо,2.81341
лингвистика,2.04022
философия,2.04022
социология,2.30259
политология,2.81341
конфликтология,2.81341
религиоведение,2.30259
теология,2.99573
клинический,1.96611
молодёжь,2.30259
юриспруденция,1.89712
судебный,2.40795
прокурорский,3.21888
испанский,2.65926
литература,1.83258
переводоведение,2.40795
английский,1.56065
татарский,2.12026
как,0.8916
c,2.65926
углублённый,2.52573
жестовый,2.99573
второй,2.20727
переводоведениенемецкий,3.50656
французский,2.20727
методика,2.04022
преподавание,2.04022
культура,1.07881
педагогический,1.17118
заочный,1.56065
очный,1.23787
музыка,2.65926
база,1.34707
профессиональный,0.69315
сфера,1.10866
мультилингвальный,3.50656
ранний,2.40795
ребёнок,1.56065
дошкольный,2.30259
начальный,2.20727
психологопедагогический,2.30259
детский,1.7148
практический,1.83258
педагогика,1.83258
специальный,1.46968
дефектологический,2.65926
логопедия,3.21888
два,1.46968
профиль,1.46968
полилингвальный,2.65926
ит,2.65926
жизнедеятельность,2.52573
изобразительный,2.81341
европейский,2.20727
восточный,2.30259
обществознание,2.52573
билингвальный,2.99573
отрасль,1.83258
правоведение,2.81341
правоохранительный,2.81341
архитектурный,3.21888
пространство,2.20727
интерьер,2.81341
промышленный,2.65926
архитектура,2.81341
девиантный,3.21888
поведение,2.99573
несовершеннолетний,3.21888
автоматизация,2.65926
процесс,0.91629
производство,1.77196
машиностроение,2.30259
мехатроника,3.21888
теплоэнергетика,2.81341
теплотехник,2.30259
электроэнергетика,2.52573
электротехника,2.40795
энергетический,2.20727
конструкторскотехнологический,2.81341
машиностроительный,2.81341
роботехника,3.50656
холодильный,3.21888
криогенный,3.21888
жизнеобеспечение,2.81341
техносферный,2.99573
наземный,2.20727
транспортнотехнологический,2.81341
комплекс,1.56065
строительство,2.04022
автомобиль,2.65926
машина,2.52573
таможенный,2.52573
транспортный,2.81341
средство,1.38629
логистика,2.65926
гражданский,1.66073
немецкий,2.12026
декоративноприкладный,3.50656
псиохология,3.50656
хотеть,2.20727
быть,0.82098
мы,1.13943
присоединяться,2.81341
учитель,2.30259
федерация,1.04982
государство,2.04022
двойной,2.81341
согласенный,3.50656
обработка,1.89712
свой,1.07881
персональный,2.20727
данные,1.38629
вы,1.38629
уже,1.96611
решить,2.81341
что,1.30933
разряд,3.21888
тогда,2.99573
расслабиться,3.50656
выдохнуть,3.50656
первый,1.04982
самый,1.89712
важный,2.65926
шаг,2.81341
сделать,1.89712
а,0.56212
это,1.10866
говориться,3.50656
половина,2.65926
путь,2.65926
остаться,2.40795
разобраться,3.50656
именно,2.52573
зарегистрироваться,2.99573
социальнообразовательный,2.99573
abiturientkpfuru,3.50656
благодаря,2.81341
аккаунт,3.21888
смочь,1.96611
записаться,2.81341
посмотреть,2.30259
видеоурок,3.21888
также,0.96758
принять,1.51413
участие,1.02165
победа,2.40795
который,0.79851
мочь,1.02165
принести,3.21888
email,0.69315
адрес,0.03046
ул,0.03046
далее,0.3285
каб,0.67334
почтовый,0.77653
интранет,0.84397
фирменный,0.04082
стиль,0.04082
аккредитация,0.04082
журналист,0.04082
поддержка,0.04082
обратный,0.04082
отправить,2.65926
газета,0.63488
hrслужба,4.60517
цель,1.77196
задача,1.60944
руководство,2.52573
кадровый,2.81341
движение,2.30259
ппс,3.21888
трудоустройство,2.30259
алгоритм,3.50656
при,0.8916
необходимый,1.66073
оформление,2.30259
руководитель,1.66073
заявка,2.20727
подбор,3.50656
представление,2.65926
награждение,2.65926
дисциплинарный,4.60517
взыскание,3.91202
ведение,2.99573
табель,4.60517
действие,1.96611
изменение,1.83258
тд,2.65926
расторжение,3.91202
защита,1.96611
командировка,3.91202
отпуск,3.91202
больничный,4.60517
лист,2.40795
оформлять,4.60517
трудовой,2.40795
пенсия,4.60517
заверять,4.60517
ук,3.50656
нпр,4.60517
шаблон,0.79851
производственный,2.99573
компаниипартнер,3.91202
секрет,3.91202
успешный,2.52573
собеседование,2.40795
вести,2.65926
себя,1.60944
написать,2.65926
сопроводительный,3.91202
письмо,2.40795
составить,3.21888
резюме,3.50656
конструктор,3.50656
зарубеж,3.91202
студенческий,0.52763
отряд,3.91202
должность,0.65393
прохождение,1.60944
конкурсавыбор,4.60517
квалификационный,3.21888
пакет,2.52573
конкурсный,2.20727
карьерный,3.91202
резерв,3.91202
формирование,1.83258
тест,2.81341
самоопределение,3.91202
группа,1.60944
повышение,0.77653
квалификация,0.69315
здание,1.66073
кодекс,3.21888
поздравление,3.91202
профсоюз,4.60517
профсоюзный,3.50656
давать,2.52573
отдых,3.91202
страница,1.34707
президиум,3.91202
организационномассовый,4.60517
правовой,1.96611
охрана,1.96611
социальноэкономический,3.50656
жилищнобытовый,4.60517
культурномассовый,3.50656
спортивнооздоровительный,3.50656
ветеран,3.50656
неработающий,4.60517
пенсионер,3.91202
структурный,2.30259
базовый,2.52573
положение,1.89712
регламент,2.81341
бланк,3.21888
успех,2.81341
замещение,0.75502
рождение,2.52573
преимущество,2.99573
зарплата,3.50656
льготный,3.91202
ипотека,4.60517
собственный,2.30259
поликлиника,2.40795
создание,1.51413
мип,3.21888
членство,4.60517
сентябрь,1.42712
степень,2.30259
составлять,2.65926
тыс,3.91202
рубль,2.40795
кандидат,2.12026
доктор,2.52573
тысяча,2.30259
есть,1.96611
мотивировочный,4.60517
колебаться,4.60517
до,1.02165
процент,3.91202
утвердить,2.20727
соответствие,1.46968
сумма,2.81341
должностной,3.21888
оклад,3.91202
можно,1.56065
ознакомиться,3.21888
ниже,3.21888
или,0.94161
то,2.04022
же,2.12026
актуально,4.60517
увп,4.60517
опубликовать,2.81341
здесь,2.04022
httpkpfuruportaldocsfdolzhnostnyeokladyppsinrspdf,4.60517
не,0.94161
забывать,4.60517
заботиться,4.60517
улучшение,2.99573
социальнобытовый,4.60517
профессорскопреподавательский,3.50656
состав,1.89712
категория,2.04022
выделить,3.50656
договорённость,3.91202
жилищный,3.91202
фонд,2.30259
квартира,4.60517
ипотечный,3.91202
кооператив,4.60517
возведение,3.91202
коттеджный,4.60517
посёлок,3.91202
площадь,3.21888
ботанический,3.50656
сад,2.12026
несмотря,3.91202
соципотека,4.60517
тот,1.02165
она,1.66073
существовать,2.99573
несколько,2.20727
завершить,3.91202
планироваться,2.99573
близкий,2.40795
бы,2.81341
включаться,3.50656
информировать,3.50656
существующий,3.21888
постановка,3.21888
очередь,2.99573
получение,2.04022
являться,1.34707
потенциал,2.52573
высококвалифицированный,2.81341
административный,2.81341
позволить,2.40795
планировать,1.96611
получать,2.52573
результативность,4.60517
формироваться,2.99573
основа,1.38629
любой,2.20727
многопрофильный,3.21888
амбулаторный,3.91202
дневный,2.99573
круглосуточный,4.60517
стационар,3.91202
экстренный,4.60517
плановый,4.60517
форма,1.04982
оказываться,4.60517
первичный,3.91202
медикосанитарный,2.65926
специализировать,2.81341
фгаоу,1.96611
у,1.23787
коллектив,2.30259
каждый,1.89712
иметься,2.30259
доверенный,3.50656
врач,2.65926
маленький,3.91202
объединить,3.21888
один,1.02165
позволять,2.12026
эффективно,3.50656
проводить,1.42712
например,2.65926
оценивать,3.50656
учитывать,3.91202
фактор,3.50656
влиять,3.91202
такой,1.56065
разрабатывать,3.91202
сохранение,2.99573
особенно,3.21888
важно,2.99573
тем,2.12026
кто,1.83258
иметь,1.46968
какиелибо,3.50656
заболевание,2.40795
подобный,3.91202
подход,2.81341
помочь,3.21888
избежать,3.91202
обострение,4.60517
учебновспомогательный,3.50656
заведение,2.20727
переподготовка,2.40795
ориентировать,3.50656
час,1.96611
аудиторный,3.91202
окончание,2.30259
проводиться,1.42712
итоговый,1.83258
слушатель,2.30259
выдаваться,2.40795
удостоверение,2.81341
краткосрочный,3.91202
установленный,2.04022
коммерциализация,4.60517
непростой,3.91202
сегодня,2.40795
успешно,2.12026
решать,2.99573
путём,3.50656
предприятие,2.20727
необходимо,1.77196
стадия,3.91202
он,1.13943
ответ,2.81341
этот,2.04022
последовательность,4.60517
готовый,2.52573
отчислять,4.60517
примерно,3.21888
купить,4.60517
путёвка,3.91202
оздоровительный,3.50656
лагерь,2.99573
компенсация,4.60517
санаторнокурортный,4.60517
лечение,3.91202
бесплатный,2.65926
обследование,2.52573
потребительский,4.60517
кредитование,4.60517
подробный,1.83258
плюс,3.91202
объявление,0.75502
отделение,1.77196
акушергинекологбольничный,4.60517
бумага,3.91202
будетв,4.60517
требоваться,3.21888
заместитель,2.04022
вопросампреимущество,4.60517
погашение,4.60517
способ,2.40795
оплата,2.20727
налоговый,2.99573
задолженность,3.21888
вн,3.50656
кижть,4.60517
библиотекарь,4.60517
род,4.60517
тесно,4.60517
сотрудничать,3.91202
хайрутдинов,4.60517
доступно,4.60517
объяснять,4.60517
оформить,2.40795
хотеться,3.91202
отметить,2.30259
всегда,2.30259
знать,2.52573
какой,2.52573
находиться,2.52573
ли,2.52573
порядок,1.20397
если,1.38629
возникать,3.91202
связаться,3.91202
подсказать,4.60517
проблема,1.96611
отсутствие,2.20727
коллега,3.21888
оставлять,3.50656
внимание,1.7148
говорить,2.81341
командный,3.50656
так,1.77196
держать,4.60517
фролов,3.50656
директор,1.56065
устраиваться,3.91202
вступать,4.60517
разместить,2.40795
впоследствии,4.60517
поздний,2.99573
наличие,1.96611
достаточно,3.50656
оперативно,3.50656
online,2.20727
консультация,3.21888
многий,3.50656
связанный,2.65926
заключение,2.12026
тп,3.50656
неоднократно,3.50656
обращаться,2.40795
рядовой,4.60517
компетентный,4.60517
грамотно,3.50656
сформулировать,3.91202
считать,2.99573
развивать,3.50656
способствовать,2.99573
максимальный,3.21888
эффективность,3.21888
искать,3.50656
находить,4.60517
талант,3.50656
опираться,4.60517
традиция,2.81341
сочетание,3.50656
управленческий,2.12026
объединять,3.50656
творческий,1.56065
инициативный,4.60517
убеждённый,3.91202
занять,2.81341
достойный,3.91202
среди,1.66073
хороший,1.17118
мировой,2.12026
работать,1.51413
только,1.38629
файлограничение,4.60517
мбдопустимый,4.60517
тип,2.40795
txt,4.60517
doc,3.91202
docx,3.91202
pdf,3.21888
rtf,4.60517
фио,0.99425
layer,0.91629
лобачевскоговспомогательный,3.91202
междисциплинарный,0.82098
аналитический,0.71335
микроскопия,0.82098
научнообразовательный,0.82098
фармацевтика,0.82098
лев,0.82098
толстой,0.82098
непрерывный,0.82098
itлицейинтернат,0.82098
имя,0.65393
нилобачевский,0.79851
فارسی,0.82098
миссия,0.79851
тор,0.82098
остров,0.82098
кружок,0.82098
полимирие,0.82098
уважаемый,2.20727
посетитель,3.91202
приветствовать,3.50656
обладать,3.21888
почти,3.91202
миллионный,3.91202
входить,2.52573
число,1.42712
отразить,3.91202
традиционный,2.81341
каталог,3.50656
миллион,3.50656
содержать,3.21888
удалённый,2.99573
заказ,3.21888
книгохранение,3.91202
доставка,3.21888
заказать,3.91202
статья,2.40795
отсутствовать,3.21888
через,1.83258
поработать,3.91202
сводный,3.21888
воспользоваться,3.21888
виртуальный,2.81341
справочный,2.81341
выставка,2.52573
обзорыказанский,3.91202
регулярно,3.21888
приобретать,3.91202
ресурс,2.12026
отечественный,2.40795
издательство,2.99573
агрегатор,3.91202
коллекция,3.91202
elsevier,3.91202
реферативный,3.91202
scopus,3.50656
дрбиблиотека,3.91202
формировать,3.21888
коллекциить,3.91202
конспект,3.91202
лекция,2.04022
преподаватель,1.77196
кфуinstructions,3.91202
for,3.50656
readersаккредитация,3.91202
лицензированиеосновный,3.91202
электроннобиблиотечный,3.91202
кфупамятка,3.91202
заполнение,2.40795
раздел,2.40795
дисциплиныуважать,3.91202
преподавателидоводить,3.91202
книга,3.21888
дарить,3.50656
подключение,3.91202
эбс,3.91202
лань,3.91202
предназначить,2.99573
просить,2.99573
включать,2.52573
подарить,3.91202
лично,3.50656
дисциплина,2.40795
ключевой,1.20397
слово,1.17118
руководительструк,3.91202
евгений,2.99573
николаевич,2.99573
emaillslkpfuru,3.91202
улкремлёвский,2.30259
корреспонденция,3.91202
положениеоткрыть,1.66073
файл,1.30933
абонемент,3.91202
сетевой,2.52573
публикация,2.65926
библиограф,3.91202
читатель,3.91202
читать,3.21888
фотоотчёт,1.66073
апрель,1.38629
книжноиллюстративный,3.91202
экспозиция,3.91202
граница,3.50656
татарстан,1.20397
открыться,2.99573
период,1.04982
март,1.10866
про,3.21888
лобачёвка,3.91202
news,3.91202
начало,2.20727
площадка,2.65926
telegram,3.50656
январь,1.83258
художественный,2.99573
переместить,3.91202
центральный,2.81341
й,2.65926
этаж,2.99573
финальный,3.91202
этап,2.12026
мир,1.51413
проходить,1.38629
предмет,1.83258
читальный,3.50656
зал,2.20727
телефонуэлектронный,3.91202
предлагать,2.40795
февраль,1.20397
плакат,3.91202
нематериальный,3.91202
дар,3.50656
передать,3.50656
авторский,2.99573
нв,3.21888
нарышкин,3.91202
николай,3.91202
василиевич,3.91202
известный,3.21888
писательподвижник,3.91202
просветитель,3.50656
деятель,3.91202
двести,3.91202
презентация,2.65926
рукопись,3.91202
алишер,3.91202
навои,3.91202
собрание,2.30259
республика,1.07881
состояться,1.46968
памятный,3.91202
дата,1.46968
исторический,1.89712
советский,2.99573
свияжска,3.91202
вводный,3.21888
неоднократный,3.21888
статус,2.65926
последний,1.66073
сто,3.50656
храниться,3.21888
новогодний,3.91202
открытка,3.91202
датироваться,3.91202
запомнить,0.82098
фотография,1.46968
материал,0.96758
тукать,2.52573
кфуоб,3.91202
исполнять,3.50656
обязанность,2.52573
альбертович,3.91202
проректор,2.81341
наблюдательный,3.50656
попечительский,3.91202
старейшина,4.60517
планирование,3.21888
реализация,1.89712
перспективный,2.40795
опоза,4.60517
земельноимущественный,3.91202
бухгалтерский,2.65926
отчётность,2.65926
аудит,2.81341
нормирование,4.60517
физкультурноспортивный,2.99573
эколог,3.21888
огэк,4.60517
информатизация,3.21888
метрология,3.21888
сертификация,2.99573
стандартизация,3.21888
мобилизационный,3.50656
воинский,3.50656
заработный,2.81341
плата,2.99573
наименование,2.99573
ултоварищеский,3.91202
открыть,1.77196
да,2.65926
м,2.40795
межлаук,3.91202
нужин,3.21888
карла,3.91202
маркс,3.91202
ссайдашев,4.60517
улпушкин,3.50656
подлужный,4.60517
деревня,2.20727
универсиада,2.20727
дом,2.12026
рахматуллин,4.60517
оренбургский,3.21888
тракт,3.21888
мастерство,3.50656
чехов,4.60517
a,3.91202
эстетический,3.50656
копылов,4.60517
